Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$195.10,1.37,0.707%,3068669370000.00,United States,1980,80285208,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$527.17,-5.06,-0.951%,241812879000.00,United States,1986,3379081,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,$901.37,-2.06,-0.228%,371982243505.00,United States,2009,2409427,Technology,Semiconductors
CRM,Salesforce Inc. Common Stock,$234.37,6.74,2.961%,228276380000.00,United States,2004,8506127,Technology,Computer Software: Prepackaged Software
GOOG,Alphabet Inc. Class C Capital Stock,$122.78,-1.30,-1.048%,1558937660000.00,United States,2004,22237035,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$122.03,-1.73,-1.398%,1549414910000.00,United States,2004,37132788,Technology,Computer Software: Programming Data Processing
META,Meta Platforms Inc. Class A Common Stock,$316.01,3.96,1.269%,809848950064.00,United States,2012,21663628,Technology,Computer Software: Programming Data Processing
MSFT,Microsoft Corporation Common Stock,$355.08,-4.41,-1.227%,2640192928131.00,United States,1986,39641175,Technology,Computer Software: Prepackaged Software
NOW,ServiceNow Inc. Common Stock,$603.25,6.12,1.025%,245764050000.00,United States,2012,1736073,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$470.77,-4.17,-0.878%,1162801900000.00,United States,1999,42397344,Technology,Semiconductors
ORCL,Oracle Corporation Common Stock,$118.69,-2.08,-1.722%,320018268570.00,United States,1986,7604766,Technology,Computer Software: Prepackaged Software
